Title,URL,Summary
British Broadcasting Corporation,https://www.bbc.com/,"They are televisions from another era, replaced by the flat screen, high-resolution displays of the modern era. Yet cathode-ray tubes are still surprisingly in demand."
Home,https://www.bbc.com/,"They are televisions from another era, replaced by the flat screen, high-resolution displays of the modern era. Yet cathode-ray tubes are still surprisingly in demand."
Sport,https://www.bbc.com/sport,"They are televisions from another era, replaced by the flat screen, high-resolution displays of the modern era. Yet cathode-ray tubes are still surprisingly in demand."
Video,https://www.bbc.com/video,"They are televisions from another era, replaced by the flat screen, high-resolution displays of the modern era. Yet cathode-ray tubes are still surprisingly in demand."
"The people who hunt down old TVsThey are televisions from another era, replaced by the flat screen, high-resolution displays of the modern era. Yet cathode-ray tubes are still surprisingly in demand.3 hrs agoFuture",https://www.bbc.com/future/article/20250911-the-people-who-hunt-down-old-tvs,"They are televisions from another era, replaced by the flat screen, high-resolution displays of the modern era. Yet cathode-ray tubes are still surprisingly in demand."
"AI 'friend' chatbots probed over child protectionThe Federal Trade Commission is inquiring into seven tech companies including Snap, Meta, OpenAI and XAI.2 hrs agoTechnology",https://www.bbc.com/news/articles/c74933vzx2yo,"The Federal Trade Commission is inquiring into seven tech companies including Snap, Meta, OpenAI and XAI."
"Mystery of dancing spiders' DNA could explain how they develop into new speciesThere are many more species of peacock spider than other animals, scientists think they may know why.2 days ago",https://www.bbc.com/news/articles/c4gzl2zj72jo,"There are many more species of peacock spider than other animals, scientists think they may know why."
How space-based solar power can fuel our EarthTech Now explores how space innovation could help solve the Earth's energy challenges.1 day agoTech Now,https://www.bbc.com/reel/video/p0ly0hnd/how-space-based-solar-power-can-fuel-our-earth,Tech Now explores how space innovation could help solve the Earth's energy challenges.
"AI 'friend' chatbots probed over child protectionThe Federal Trade Commission is inquiring into seven tech companies including Snap, Meta, OpenAI and XAI.2 hrs agoTechnology",https://www.bbc.com/news/articles/c74933vzx2yo,"The Federal Trade Commission is inquiring into seven tech companies including Snap, Meta, OpenAI and XAI."
"US energy chief tells BBC nuclear fusion will soon power the worldAI will soon enable harnessing of the energy that powers the sun and stars, says Chris Wright13 hrs agoClimate",https://www.bbc.com/news/articles/cqlz5p314z0o,"AI will soon enable harnessing of the energy that powers the sun and stars, says Chris Wright"
Will the latest iPhone kill off the Sim card?The iPhone Air will only have an eSim - will other phone makers also shift away from the familiar - but fiddly - plastic cards?8 hrs agoTechnology,https://www.bbc.com/news/articles/c4gz30grggqo,The iPhone Air will only have an eSim - will other phone makers also shift away from the familiar - but fiddly - plastic cards?
"The hunt for alien life is heating upForget UFOs and alien abductions, here's how scientists are really looking for life on other worlds.18 hrs agoFuture",https://www.bbc.com/future/article/20240308-how-the-hunt-for-alien-life-is-hotting-up,"Forget UFOs and alien abductions, here's how scientists are really looking for life on other worlds."
"Larry Ellison briefly becomes world's richest personThe Oracle cofounder's wealth temporarily overtook Musk's fortune, propelled by an AI boom.",https://www.bbc.com/news/articles/cx2rp992y88o,"The Oracle cofounder's wealth temporarily overtook Musk's fortune, propelled by an AI boom."
Publishers fear AI summaries are hitting online trafficGoogle's AI overviews are diverting traffic away from online newspapers and other publications.,https://www.bbc.com/news/articles/c0mlvryx0exo,Google's AI overviews are diverting traffic away from online newspapers and other publications.
"AI firm Anthropic agrees to pay authors $1.5bn to settle piracy lawsuitAnthropic's deal with authors would constitute the largest public copyright recovery in history, lawyers say.",https://www.bbc.com/news/articles/c5y4jpg922qo,"Anthropic's deal with authors would constitute the largest public copyright recovery in history, lawyers say."
Do you need to drink electrolytes to stay hydrated?,https://www.bbc.com/reel/video/p0lv8l11/do-you-need-to-drink-electrolytes-to-stay-hydrated-,Electrolyte-packed drinks are said to optimise health and hydration. But do we really need them?
